exit_time,coin,lead,entry,exit,pnl_pct,reason,strong
2026-06-28 17:40:39,SIGN,1.55,12.9500,12.9900,+0.31,타임아웃15분,False
2026-06-28 17:56:11,CTC,1.54,131.0000,131.0000,+0.00,타임아웃15분,False
2026-06-28 18:05:55,POKT,1.53,13.0700,13.1500,+0.61,타임아웃15분,False
2026-06-28 18:38:25,PROS,1.80,724.0000,719.0000,-0.69,타임아웃15분,False
2026-06-28 19:03:42,FCT2,1.72,11.5800,11.7500,+1.47,타임아웃15분,False
2026-06-28 19:11:22,ARDR,3.10,37.8200,37.0000,-2.17,손절-1.5%,True
2026-06-28 19:36:11,POKT,1.55,12.9200,12.9200,+0.00,타임아웃15분,False
2026-06-28 20:22:36,MLK,2.01,55.4900,55.3400,-0.27,타임아웃15분,False
2026-06-28 20:53:54,FCT2,1.71,11.7700,11.8400,+0.59,타임아웃15분,False
2026-06-28 21:13:26,FCT2,1.69,11.8500,11.8000,-0.42,타임아웃15분,False
2026-06-28 21:22:38,ARDR,1.51,36.8400,36.8400,+0.00,타임아웃15분,False
2026-06-28 21:36:10,CTC,1.55,129.0000,130.0000,+0.78,타임아웃15분,False
2026-06-28 21:54:12,POKT,1.56,12.8600,12.6600,-1.56,손절-1.5%,False
2026-06-28 22:01:25,EDGE,2.27,132.0000,133.0000,+0.76,트레일(고점+3.0%),False
2026-06-28 22:11:42,FCT2,1.72,11.6700,11.6500,-0.17,타임아웃15분,False
2026-06-28 22:35:23,FCT2,1.74,11.6300,11.6300,+0.00,타임아웃15분,False
2026-06-28 22:46:34,EDGE,1.56,129.0000,130.0000,+0.78,트레일(고점+2.3%),False
2026-06-28 22:55:03,CTC,1.55,130.0000,130.0000,+0.00,타임아웃15분,False
2026-06-28 23:12:04,QKC,2.10,3.0470,3.1200,+2.40,트레일(고점+4.5%),False
2026-06-28 23:13:29,QKC,1.80,3.1200,3.1460,+0.83,트레일(고점+3.1%),False
2026-06-28 23:21:32,EDGE,1.52,134.0000,131.0000,-2.24,손절-1.5%,False
2026-06-28 23:33:02,QKC,1.58,3.1980,3.2260,+0.88,트레일(고점+2.2%),False
2026-06-28 23:52:32,POWR,1.55,73.6900,73.6400,-0.07,트레일(고점+1.1%),False
2026-06-29 00:13:09,XEC,1.84,0.0081,0.0081,+0.00,트레일(고점+1.2%),False
2026-06-29 00:13:32,EDGE,2.32,127.0000,124.0000,-2.36,손절-1.5%,False
2026-06-29 00:40:13,COOKIE,1.62,15.4900,15.1500,-2.19,손절-1.5%,False
2026-06-29 00:44:36,XEC,1.96,0.0082,0.0082,+0.00,트레일(고점+1.2%),False
2026-06-29 00:56:59,COOKIE,2.37,15.6800,16.1100,+2.74,트레일(고점+4.3%),False
2026-06-29 01:04:26,ARDR,1.60,37.3700,36.6600,-1.90,손절-1.5%,False
2026-06-29 01:12:49,MOVE,1.75,16.9900,17.1600,+1.00,트레일(고점+2.1%),False
2026-06-29 01:28:14,MANTA,2.03,177.0000,177.0000,+0.00,트레일(고점+1.1%),False
2026-06-29 01:31:51,EDGE,1.57,126.0000,128.0000,+1.59,트레일(고점+4.8%),False
2026-06-29 01:32:36,MANTA,1.79,159.0000,162.0000,+1.89,트레일(고점+4.4%),False
2026-06-29 01:33:45,MANTA,4.03,155.0000,155.0000,+0.00,트레일(고점+1.3%),True
2026-06-29 01:45:54,POKT,1.59,12.5100,12.5600,+0.40,타임아웃15분,False
2026-06-29 02:01:21,ELF,1.85,96.5000,96.0900,-0.42,트레일(고점+1.6%),False
2026-06-29 02:04:58,EDGE,1.57,127.0000,125.0000,-1.57,손절-1.5%,False
2026-06-29 03:21:48,PUNDIX,1.60,124.0000,124.0000,+0.00,타임아웃15분,False
2026-06-29 03:55:18,POKT,1.60,12.3900,12.4600,+0.56,타임아웃15분,False
2026-06-29 03:55:40,EDGE,1.60,123.0000,123.0000,+0.00,트레일(고점+1.6%),False
2026-06-29 04:57:21,ARDR,2.28,37.0000,37.4300,+1.16,트레일(고점+4.1%),False
2026-06-29 05:09:32,ARDR,2.04,37.6800,38.5400,+2.28,트레일(고점+3.5%),False
2026-06-29 05:40:37,EDGE,1.53,130.0000,133.0000,+2.31,타임아웃15분,False
