exit_time,coin,entry,exit,pnl_pct,reason,held_h,chg24h_at_entry,rsi_at_entry,vol_ratio_at_entry
2026-07-02 04:41:18,PYTH,58.7600,58.7100,-0.09,타임아웃6H,6.0,-1.2,55.0,0.13
2026-07-02 04:51:19,ADA,234.0000,232.0000,-0.85,타임아웃6H,6.0,+6.8,60.0,0.0
2026-07-02 05:01:19,PENGU,9.4250,9.3250,-1.06,타임아웃6H,6.0,+2.6,68.7,2.05
2026-07-02 10:41:32,HBAR,110.0000,110.0000,+0.00,타임아웃6H,6.0,+3.8,50.0,0.09
2026-07-02 10:51:35,EDGE,112.0000,121.0000,+8.04,타임아웃6H,6.0,-1.8,45.5,0.03
2026-07-02 11:01:38,SUI,1080.0000,1097.0000,+1.57,타임아웃6H,6.0,+1.9,50.0,0.37
