exit_time,coin,lead,entry,exit,pnl_pct,reason,strong
2026-06-28 13:44:21,HP,2.92,15.9600,15.7800,-1.13,트레일(고점+2.2%),False
2026-06-28 13:51:39,CTC,1.53,133.0000,136.0000,+2.26,트레일(고점+3.8%),False
2026-06-28 13:51:41,HP,1.95,17.4200,17.0000,-2.41,손절-1.5%,False
2026-06-28 14:04:11,HP,2.15,17.6000,16.2800,-7.50,손절-1.5%,False
2026-06-28 14:13:35,POWR,1.76,74.6800,74.5900,-0.12,트레일(고점+1.6%),False
2026-06-28 14:33:21,POKT,3.78,13.8600,13.4100,-3.25,손절-1.5%,True
2026-06-28 14:52:04,QKC,2.18,3.2440,3.2300,-0.43,트레일(고점+1.5%),False
2026-06-28 14:57:16,FCT2,1.68,12.0100,12.0000,-0.08,타임아웃15분,False
2026-06-28 15:14:59,POKT,1.52,13.3200,13.3300,+0.08,트레일(고점+1.2%),False
2026-06-28 15:15:00,EDGE,2.04,151.0000,149.0000,-1.32,트레일(고점+1.3%),False
2026-06-28 15:23:19,POWR,1.63,78.6000,77.0400,-1.98,손절-1.5%,False
2026-06-28 15:50:18,EDGE,2.43,165.0000,159.0000,-3.64,손절-1.5%,False
2026-06-28 16:10:05,CTC,1.54,131.0000,131.0000,+0.00,타임아웃15분,False
2026-06-28 16:15:17,EDGE,3.07,160.0000,157.0000,-1.88,손절-1.5%,True
2026-06-28 16:19:27,FCT2,1.72,11.6500,11.5600,-0.77,타임아웃15분,False
